component_id	system_id	name	description
COMP_11680_CATALYTIC	SYS_11680_GMP_SYNTHASE	GMP synthase protein	Required catalytic protein.
COMP_18633_MONOMER	SYS_18633_MONOMER	carbamoyl-phosphate synthase protein	Required catalytic protein; alternative markers are OR.
COMP_18633_LARGE	SYS_18633_HETERODIMER	carbamoyl-phosphate synthase large subunit	Required catalytic large subunit.
COMP_18633_SMALL	SYS_18633_HETERODIMER	carbamoyl-phosphate synthase small subunit	Required glutamine-hydrolyzing small subunit.
COMP_20013_MONOMER	SYS_20013_MONOMER	aspartate carbamoyltransferase protein	Required catalytic protein; alternative markers are OR.
COMP_20013_CATALYTIC	SYS_20013_CATALYTIC	aspartate carbamoyltransferase catalytic subunit	Required catalytic subunit; catalytically competent without the PyrI regulatory subunit.
COMP_24296_CATALYTIC	SYS_24296_DIHYDROOROTASE	dihydroorotase protein	Required catalytic protein; alternative markers are OR.
COMP_30059_CATALYTIC	SYS_30059_FUMARATE	fumarate-dependent dihydroorotate dehydrogenase protein	Required catalytic protein.
COMP_30187_CATALYTIC	SYS_30187_QUINONE	quinone-dependent dihydroorotate dehydrogenase protein	Required catalytic protein.
COMP_13513_CATALYTIC	SYS_13513_NAD	NAD-dependent dihydroorotate dehydrogenase catalytic subunit	Required PyrDb catalytic subunit.
COMP_13513_ELECTRON	SYS_13513_NAD	NAD-dependent dihydroorotate dehydrogenase electron transfer subunit	Required PyrK electron transfer subunit; NAD+ reduction depends on it.
COMP_10380_CATALYTIC	SYS_10380_OPRT	orotate phosphoribosyltransferase protein	Required catalytic protein; alternative markers are OR.
COMP_11596_CATALYTIC	SYS_11596_OMP_DECARBOXYLASE	orotidine 5'-phosphate decarboxylase protein	Required catalytic protein; alternative markers are OR.
COMP_26426_CATALYTIC	SYS_26426_CTP_SYNTHASE	CTP synthase protein	Required catalytic protein.
COMP_12641_CATALYTIC	SYS_12641_SERA	3-phosphoglycerate dehydrogenase protein	Required catalytic protein.
COMP_14329_CATALYTIC	SYS_14329_SERC	phosphoserine aminotransferase protein	Required catalytic protein.
COMP_21208_CATALYTIC	SYS_21208_PSP	phosphoserine phosphatase protein	Required catalytic protein; alternative markers are OR.
COMP_15481_CATALYTIC	SYS_15481_SHMT	serine hydroxymethyltransferase protein	Required catalytic protein.
COMP_23776_CATALYTIC	SYS_23776_AK	aspartate kinase protein	Required catalytic protein; alternative markers are OR.
COMP_24284_CATALYTIC	SYS_24284_ASD	aspartate-semialdehyde dehydrogenase protein	Required catalytic protein.
COMP_15757_CATALYTIC	SYS_15757_HOM_NAD	NAD-dependent homoserine dehydrogenase protein	Required catalytic protein; alternative markers are OR.
COMP_15761_CATALYTIC	SYS_15761_HOM_NADP	NADP-dependent homoserine dehydrogenase protein	Required catalytic protein; alternative markers are OR.
COMP_13985_CATALYTIC	SYS_13985_HSK	homoserine kinase protein	Required catalytic protein; alternative markers are OR.
COMP_10840_CATALYTIC	SYS_10840_THRC	threonine synthase protein	Required catalytic protein.
COMP_22008_CATALYTIC	SYS_22008_ACYLTRANSFERASE	homoserine acyltransferase protein	Required catalytic protein; alternative markers are OR.
COMP_13701_CATALYTIC	SYS_13701_ACYLTRANSFERASE	homoserine acyltransferase protein	Required catalytic protein; alternative markers are OR.
COMP_20397_CATALYTIC	SYS_20397_METB	cystathionine gamma-synthase protein	Required catalytic protein.
COMP_30931_CATALYTIC	SYS_30931_METB	cystathionine gamma-synthase protein	Required catalytic protein.
COMP_80891_CATALYTIC	SYS_80891_CGS1	plant cystathionine gamma-synthase protein	Required catalytic protein.
COMP_13965_CATALYTIC	SYS_13965_CBL	cystathionine beta-lyase protein	Required catalytic protein; alternative markers are OR.
COMP_27826_CATALYTIC	SYS_27826_METZ	O-succinylhomoserine sulfhydrylase protein	Required catalytic protein; alternative markers are OR.
COMP_27822_CATALYTIC	SYS_27822_METY	O-acetylhomoserine sulfhydrylase protein	Required catalytic protein; alternative markers are OR.
COMP_11172_CATALYTIC	SYS_11172_METH	cobalamin-dependent methionine synthase protein	Required catalytic protein; alternative markers are OR.
COMP_21196_CATALYTIC	SYS_21196_METE	cobalamin-independent methionine synthase protein	Required catalytic protein.
COMP_24560_CATALYTIC	SYS_24560_CYSE	serine O-acetyltransferase protein	Required catalytic protein; alternative markers are OR.
COMP_14829_CATALYTIC	SYS_14829_OASS	cysteine synthase protein	Required catalytic protein; alternative markers are OR.
COMP_10112_CATALYTIC	SYS_10112_CBS	cystathionine beta-synthase protein	Required catalytic protein; alternative markers are OR.
COMP_32743_CATALYTIC	SYS_32743_MCCA	cystathionine beta-synthase protein	Required catalytic protein.
COMP_14005_CATALYTIC	SYS_14005_CGL	cystathionine gamma-lyase protein	Required catalytic protein; alternative markers are OR.
COMP_22816_CATALYTIC	SYS_22816_XYLA	xylose isomerase protein	Required catalytic protein; alternative markers are OR.
COMP_10964_CATALYTIC	SYS_10964_XYLB	xylulokinase protein	Required catalytic protein; alternative markers are OR.
COMP_14821_CATALYTIC	SYS_14821_ARAA	L-arabinose isomerase protein	Required catalytic protein; alternative markers are OR.
COMP_22072_CATALYTIC	SYS_22072_ARAB	L-ribulokinase protein	Required catalytic protein; alternative markers are OR.
COMP_22368_CATALYTIC	SYS_22368_ARAD	L-ribulose-5-phosphate 4-epimerase protein	Required catalytic protein; alternative markers are OR.
COMP_17233_CATALYTIC	SYS_17233_FUCI	L-fucose isomerase protein	Required catalytic protein; alternative markers are OR.
COMP_12376_CATALYTIC	SYS_12376_FUCK	L-fuculokinase protein	Required catalytic protein; alternative markers are OR.
COMP_12933_CATALYTIC	SYS_12933_FUCA	L-fuculose-1-phosphate aldolase protein	Required catalytic protein; alternative markers are OR.
COMP_23160_CATALYTIC	SYS_23160_RHAA	L-rhamnose isomerase protein	Required catalytic protein; alternative markers are OR.
COMP_20117_CATALYTIC	SYS_20117_RHAB	rhamnulokinase protein	Required catalytic protein; alternative markers are OR.
COMP_19689_CATALYTIC	SYS_19689_RHAD	rhamnulose-1-phosphate aldolase protein	Required catalytic protein; alternative markers are OR.
COMP_28675_CATALYTIC	SYS_28675_GALM	aldose 1-epimerase protein	Required catalytic protein; alternative markers are OR.
COMP_13553_CATALYTIC	SYS_13553_GALK	galactokinase protein	Required catalytic protein; alternative markers are OR.
COMP_13989_CATALYTIC	SYS_13989_GALT	galactose-1-phosphate uridylyltransferase protein	Required catalytic protein; alternative markers are OR.
COMP_22168_CATALYTIC	SYS_22168_GALE	UDP-glucose 4-epimerase protein	Required catalytic protein; alternative markers are OR.
COMP_17417_CATALYTIC	SYS_17417_NAGK	N-acetylglucosamine kinase protein	Required catalytic protein; alternative markers are OR.
COMP_22936_CATALYTIC	SYS_22936_NAGA	N-acetylglucosamine-6-phosphate deacetylase protein	Required catalytic protein; alternative markers are OR.
COMP_12172_CATALYTIC	SYS_12172_NAGB	glucosamine-6-phosphate deaminase protein	Required catalytic protein; alternative markers are OR.
COMP_23296_CATALYTIC	SYS_23296_NANA	N-acetylneuraminate lyase protein	Required catalytic protein; alternative markers are OR.
COMP_25253_CATALYTIC	SYS_25253_NANK	N-acetylmannosamine kinase protein	Required catalytic protein; alternative markers are OR.
COMP_25257_CATALYTIC	SYS_25257_NANE	N-acetylmannosamine-6-phosphate 2-epimerase protein	Required catalytic protein; alternative markers are OR.
COMP_27702_CATALYTIC	SYS_27702_UXAC	glucuronate isomerase protein	Required catalytic protein; alternative markers are OR.
COMP_17813_CATALYTIC	SYS_17813_UXAB	tagaturonate reductase protein	Required catalytic protein; alternative markers are OR.
COMP_14797_CATALYTIC	SYS_14797_KDGK	2-dehydro-3-deoxygluconokinase protein	Required catalytic protein; alternative markers are OR.
COMP_17089_CATALYTIC	SYS_17089_EDA	2-dehydro-3-deoxy-phosphogluconate aldolase protein	Required catalytic protein; alternative markers are OR.
COMP_13049_CATALYTIC	SYS_13049_UXAC	glucuronate isomerase protein	Required catalytic protein; alternative markers are OR.
COMP_15729_CATALYTIC	SYS_15729_UXUB	fructuronate reductase protein	Required catalytic protein; alternative markers are OR.
COMP_20097_CATALYTIC	SYS_20097_UXUA	mannonate dehydratase protein	Required catalytic protein; alternative markers are OR.
COMP_15957_CATALYTIC	SYS_15957_MONOMER	altronate hydrolase protein	Required catalytic protein.
COMP_15957_SMALL	SYS_15957_HETERODIMER	altronate dehydratase small subunit	Required subunit one of two.
COMP_15957_LARGE	SYS_15957_HETERODIMER	altronate dehydratase large subunit	Required subunit two of two.
COMP_29899_SBP	SYS_29899_XYLFGH	substrate-binding protein	Required subunit of the importer.
COMP_29899_PERMEASE	SYS_29899_XYLFGH	permease	Required subunit of the importer.
COMP_29899_ATPASE	SYS_29899_XYLFGH	ATP-binding protein	Required subunit of the importer.
COMP_29899_XAC_SBP	SYS_29899_XACGHI	substrate-binding protein	Required subunit of the importer.
COMP_29899_XAC_PERM1	SYS_29899_XACGHI	permease one of two	Required subunit of the importer.
COMP_29899_XAC_PERM2	SYS_29899_XACGHI	permease two of two	Required subunit of the importer.
COMP_30007_SBP	SYS_30007_ARAFGH	substrate-binding protein	Required subunit of the importer.
COMP_30007_PERMEASE	SYS_30007_ARAFGH	permease	Required subunit of the importer.
COMP_30007_ATPASE	SYS_30007_ARAFGH	ATP-binding protein	Required subunit of the importer.
COMP_30007_XAC_SBP	SYS_30007_XACGHI	substrate-binding protein	Required subunit of the importer.
COMP_30007_XAC_PERM1	SYS_30007_XACGHI	permease one of two	Required subunit of the importer.
COMP_30007_XAC_PERM2	SYS_30007_XACGHI	permease two of two	Required subunit of the importer.
COMP_ARAF	SYS_ARAF	alpha-L-arabinofuranosidase protein	Required catalytic protein; alternative markers are OR.
COMP_XYLANASE	SYS_XYLANASE	endo-1,4-beta-xylanase protein	Required catalytic protein; alternative markers are OR.
COMP_XYLOSIDASE	SYS_XYLOSIDASE	xylan 1,4-beta-xylosidase protein	Required catalytic protein; alternative markers are OR.
COMP_AMYLASE	SYS_AMYLASE	alpha-amylase protein	Required catalytic protein; alternative markers are OR.
COMP_PULLULANASE	SYS_PULLULANASE	pullulanase protein	Required catalytic protein; alternative markers are OR.
COMP_GLUCOSIDASE	SYS_GLUCOSIDASE	alpha-glucosidase protein	Required catalytic protein; alternative markers are OR.
COMP_DEACETYL	SYS_DEACETYL	acetylxylan esterase protein	Required catalytic protein; alternative markers are OR.
COMP_COLLAGENASE_M9	SYS_COLLAGENASE_M9	collagenase catalytic protein	Required catalytic protein; alternative markers are OR.
COMP_28042_AB_E1_ALPHA	SYS_28042_PDH_E1AB	E1 component alpha subunit	Required subunit of the complex.
COMP_28042_AB_E1_BETA	SYS_28042_PDH_E1AB	E1 component beta subunit	Required subunit of the complex.
COMP_28042_AB_E2	SYS_28042_PDH_E1AB	E2 dihydrolipoyllysine acetyltransferase	Required subunit of the complex.
COMP_28042_AB_E3	SYS_28042_PDH_E1AB	E3 dihydrolipoyl dehydrogenase	Required subunit of the complex.
COMP_28042_E1_FUSED	SYS_28042_PDH_E1	fused E1 component	Required subunit of the complex.
COMP_28042_E1_E2	SYS_28042_PDH_E1	E2 dihydrolipoyllysine acetyltransferase	Required subunit of the complex.
COMP_28042_E1_E3	SYS_28042_PDH_E1	E3 dihydrolipoyl dehydrogenase	Required subunit of the complex.
COMP_12765_POR_ALPHA	SYS_12765_POR_FOUR_SUBUNIT	PorA alpha subunit	Required subunit.
COMP_12765_POR_BETA	SYS_12765_POR_FOUR_SUBUNIT	PorB beta subunit	Required subunit.
COMP_12765_POR_GAMMA	SYS_12765_POR_FOUR_SUBUNIT	PorC gamma subunit	Required subunit.
COMP_12765_POR_DELTA	SYS_12765_POR_FOUR_SUBUNIT	PorD delta subunit	Required subunit.
COMP_12765_NIFJ_CATALYTIC	SYS_12765_NIFJ	fused oxidoreductase protein	Required catalytic protein.
COMP_11844_LYASE	SYS_11844_PFL	formate C-acetyltransferase protein	Required catalytic protein.
COMP_11844_ACTIVASE	SYS_11844_PFL	pyruvate formate-lyase activating enzyme	Required radical S-adenosylmethionine activating protein; the lyase has no activity without it.
COMP_19521_CATALYTIC	SYS_19521_PTA	phosphate acetyltransferase protein	Required catalytic protein; alternative markers are OR.
COMP_11352_CATALYTIC	SYS_11352_ACKA	acetate kinase protein	Required catalytic protein.
COMP_21036_CATALYTIC	SYS_21036_THIOLASE	acetyl-CoA C-acetyltransferase protein	Required catalytic protein.
COMP_16197_CATALYTIC	SYS_16197_HBD	3-hydroxybutanoyl-CoA dehydrogenase protein	Required catalytic protein.
COMP_26558_CATALYTIC	SYS_26558_CROTONASE	3-hydroxybutanoyl-CoA dehydratase protein	Required catalytic protein.
COMP_24004_CATALYTIC	SYS_24004_BCD	butanoyl-CoA dehydrogenase protein	Required catalytic protein.
COMP_30071_CATALYTIC	SYS_30071_BUT	butyryl-CoA:acetate CoA-transferase protein	Required catalytic protein. The claim rests on this component alone being substrate-specific, which is why no orthology marker is accepted for it.
COMP_15933_CATALYTIC	SYS_15933_FUCO	lactaldehyde reductase protein	Required catalytic protein.
COMP_14569_PDUC	SYS_14569_PDUCDE	propanediol dehydratase large subunit	Required subunit of the holoenzyme.
COMP_14569_PDUD	SYS_14569_PDUCDE	propanediol dehydratase medium subunit	Required subunit of the holoenzyme.
COMP_14569_PDUE	SYS_14569_PDUCDE	propanediol dehydratase small subunit	Required subunit of the holoenzyme.
COMP_36027_CATALYTIC	SYS_36027_PDUP	propionaldehyde dehydrogenase protein	Required catalytic protein.
COMP_28046_CATALYTIC	SYS_28046_PDUL	phosphate propanoyltransferase protein	Required catalytic protein.
COMP_23148_CATALYTIC	SYS_23148_PROPIONATE_KINASE	propionate kinase protein	Required catalytic protein; alternative markers are OR.
COMP_LACTATE_COAT_CATALYTIC	SYS_LACTATE_COAT_PCT	propionate CoA-transferase protein	Required catalytic protein.
COMP_34691_LCDA	SYS_34691_LCD	lactoyl-CoA dehydratase alpha subunit	Required subunit.
COMP_34691_LCDB	SYS_34691_LCD	lactoyl-CoA dehydratase beta subunit	Required subunit.
COMP_34471_CATALYTIC	SYS_34471_ACRC	acryloyl-CoA reductase protein	Required catalytic protein.
COMP_23444_CATALYTIC	SYS_23444_LDH	L-lactate dehydrogenase protein	Required catalytic protein.
COMP_10960_LARA	SYS_10960_LAR	lactate racemase protein	Required catalytic protein.
COMP_46276_CATALYTIC	SYS_46276_MLE	malolactic enzyme protein	Required catalytic protein.
COMP_10760_CITF	SYS_10760_CITLYASE	citrate lyase alpha subunit	Required subunit; carries the citrate CoA-transferase half of the reaction.
COMP_10760_CITE	SYS_10760_CITLYASE	citrate lyase beta subunit	Required subunit; carries the citryl-CoA lyase half of the reaction.
COMP_10760_CITD	SYS_10760_CITLYASE	citrate lyase acyl-carrier subunit	Required subunit.
COMP_10760_CITC	SYS_10760_CITLYASE	citrate lyase ligase	Required activating enzyme; without it the acyl-carrier subunit is unacetylated and the complex is inactive.
COMP_15641_OADA	SYS_15641_OAD_NA	oxaloacetate decarboxylase alpha subunit	Required subunit; the carboxyltransferase that carries the catalytic activity.
COMP_15641_SOLUBLE	SYS_15641_OAD_SOLUBLE	soluble oxaloacetate decarboxylase protein	Required catalytic protein.
COMP_23288_CATALYTIC	SYS_23288_ADHE	bifunctional acetaldehyde/alcohol dehydrogenase protein	Required catalytic protein.
COMP_25290_CATALYTIC	SYS_25290_ADHE	bifunctional acetaldehyde/alcohol dehydrogenase protein	Required catalytic protein; the same protein as the preceding step.
COMP_25249_CATALYTIC	SYS_25249_ALS	acetolactate synthase large subunit	Required catalytic protein of a step the route does not require.
COMP_21580_CATALYTIC	SYS_21580_BUDA	acetolactate decarboxylase protein	Required catalytic protein.
COMP_23704_CATALYTIC	SYS_23704_RIBA	GTP cyclohydrolase II	Required catalytic protein.
COMP_23704_RIBAB	SYS_23704_RIBAB	bifunctional RibAB	Required catalytic protein.
COMP_21868_CATALYTIC	SYS_21868_RIBD	pyrimidine deaminase RibD	Required catalytic protein.
COMP_21868_RIBG	SYS_21868_RIBG	bifunctional deaminase-reductase RibG	Required catalytic protein.
COMP_17845_CATALYTIC	SYS_17845_RIBD2	pyrimidine reductase RibD	Required catalytic protein.
COMP_17845_RIBG2	SYS_17845_RIBG2	bifunctional deaminase-reductase RibG	Required catalytic protein.
COMP_25197_CATALYTIC	SYS_25197_PHOSPHATASE	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase	Required catalytic protein.
COMP_18457_CATALYTIC	SYS_18457_RIBB	3,4-dihydroxy-2-butanone 4-phosphate synthase	Required catalytic protein.
COMP_18457_RIBAB2	SYS_18457_RIBAB2	bifunctional RibAB	Required catalytic protein.
COMP_26152_CATALYTIC	SYS_26152_RIBH	6,7-dimethyl-8-ribityllumazine synthase	Required catalytic protein.
COMP_20772_CATALYTIC	SYS_20772_RIBE	riboflavin synthase	Required catalytic protein.
COMP_11672_CATALYTIC	SYS_11672_PABB	4-amino-4-deoxychorismate synthase	Required catalytic protein.
COMP_11672_PABBC	SYS_11672_PABBC	bifunctional PabBC	Required catalytic protein.
COMP_16201_CATALYTIC	SYS_16201_PABC	4-amino-4-deoxychorismate lyase	Required catalytic protein.
COMP_16201_PABBC2	SYS_16201_PABBC2	bifunctional PabBC	Required catalytic protein.
COMP_17473_CATALYTIC	SYS_17473_FOLE	GTP cyclohydrolase I	Required catalytic protein.
COMP_25302_CATALYTIC	SYS_25302_NUDB	dihydroneopterin triphosphate diphosphatase	Required catalytic protein.
COMP_10540_CATALYTIC	SYS_10540_FOLB	dihydroneopterin aldolase	Required catalytic protein.
COMP_11412_CATALYTIC	SYS_11412_FOLK	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase	Required catalytic protein.
COMP_19949_CATALYTIC	SYS_19949_FOLP	dihydropteroate synthase	Required catalytic protein.
COMP_23584_CATALYTIC	SYS_23584_FOLC	dihydrofolate synthase	Required catalytic protein.
COMP_15009_CATALYTIC	SYS_15009_FOLA	dihydrofolate reductase	Required catalytic protein.
COMP_24840_CATALYTIC	SYS_24840_THIC	phosphomethylpyrimidine synthase ThiC	Required catalytic protein.
COMP_19893_CATALYTIC	SYS_19893_THID	phosphomethylpyrimidine kinase ThiD	Required catalytic protein.
COMP_26361_CATALYTIC	SYS_26361_THIH	2-iminoacetate synthase ThiH	Required catalytic protein.
COMP_26297_CATALYTIC	SYS_26297_THIG	thiazole synthase ThiG	Required catalytic protein.
COMP_33343_CATALYTIC	SYS_33343_THIO	glycine oxidase ThiO	Required catalytic protein.
COMP_22328_CATALYTIC	SYS_22328_THIE	thiamine phosphate synthase ThiE	Required catalytic protein.
COMP_23096_CATALYTIC	SYS_23096_THID_HMP	hydroxymethylpyrimidine kinase ThiD	Required catalytic protein.
COMP_24212_CATALYTIC	SYS_24212_THIM	hydroxyethylthiazole kinase ThiM	Required catalytic protein.
COMP_11824_CATALYTIC	SYS_11824_PANB	3-methyl-2-oxobutanoate hydroxymethyltransferase PanB	Required catalytic protein.
COMP_16233_CATALYTIC	SYS_16233_PANE	2-dehydropantoate 2-reductase PanE	Required catalytic protein.
COMP_16233_ILVC	SYS_16233_ILVC	ketol-acid reductoisomerase IlvC	Required catalytic protein.
COMP_19497_CATALYTIC	SYS_19497_PAND	aspartate 1-decarboxylase PanD	Required catalytic protein.
COMP_10912_CATALYTIC	SYS_10912_PANC	pantothenate synthetase PanC	Required catalytic protein.
COMP_31507_PDXS	SYS_31507_PDXST	PLP synthase subunit PdxS	Required subunit of the complex.
COMP_31507_PDXT	SYS_31507_PDXST	PLP synthase glutaminase subunit PdxT	Required subunit of the complex.
COMP_12056_CATALYTIC	SYS_12056_EPD	D-erythrose 4-phosphate dehydrogenase Epd	Required catalytic protein.
COMP_18829_CATALYTIC	SYS_18829_PDXB	erythronate-4-phosphate dehydrogenase PdxB	Required catalytic protein.
COMP_16573_CATALYTIC	SYS_16573_SERC	phosphoserine aminotransferase SerC	Required catalytic protein.
COMP_32275_CATALYTIC	SYS_32275_PDXA	4-hydroxythreonine-4-phosphate dehydrogenase PdxA	Required catalytic protein.
COMP_15265_CATALYTIC	SYS_15265_PDXJ	pyridoxine 5-phosphate synthase PdxJ	Required catalytic protein.
COMP_15149_CATALYTIC	SYS_15149_PDXH	pyridoxine 5-phosphate oxidase PdxH	Required catalytic protein.
COMP_20712_CATALYTIC	SYS_20712_BIOF	8-amino-7-oxononanoate synthase BioF	Required catalytic protein.
COMP_16861_CATALYTIC	SYS_16861_BIOA	adenosylmethionine-dependent DAPA transaminase BioA	Required catalytic protein.
COMP_15805_CATALYTIC	SYS_15805_BIOD	dethiobiotin synthetase BioD	Required catalytic protein.
COMP_22060_CATALYTIC	SYS_22060_BIOB	biotin synthase BioB	Required catalytic protein.
COMP_26329_CATALYTIC	SYS_26329_BIOA_LYS	lysine-dependent DAPA transaminase BioA	Required catalytic protein.
COMP_25876_CATALYTIC	SYS_25876_NADB	L-aspartate oxidase NadB	Required catalytic protein.
COMP_25888_CATALYTIC	SYS_25888_NADA	quinolinate synthase NadA	Required catalytic protein.
COMP_42440_CATALYTIC	SYS_42440_NADX	aspartate dehydrogenase NadX	Required catalytic protein.
COMP_12733_CATALYTIC	SYS_12733_NADC	nicotinate-nucleotide pyrophosphorylase NadC	Required catalytic protein.
COMP_22860_CATALYTIC	SYS_22860_NADD	nicotinate-nucleotide adenylyltransferase NadD	Required catalytic protein.
COMP_21188_CATALYTIC	SYS_21188_NADE	NAD synthetase NadE	Required catalytic protein.
COMP_24384_CATALYTIC	SYS_24384_NADE_GLN	glutamine-hydrolysing NAD synthetase	Required catalytic protein.
COMP_36163_CATALYTIC	SYS_36163_PNCB	nicotinate phosphoribosyltransferase PncB	Required catalytic protein.
COMP_32459_CATALYTIC	SYS_32459_COBA	uroporphyrin-III C-methyltransferase CobA	Required catalytic protein.
COMP_32459_CYSG	SYS_32459_CYSG	multifunctional siroheme synthase CysG	Required catalytic protein.
COMP_15613_CATALYTIC	SYS_15613_SIRC	precorrin-2 dehydrogenase SirC	Required catalytic protein.
COMP_15613_CYSG2	SYS_15613_CYSG2	multifunctional siroheme synthase CysG	Required catalytic protein.
COMP_15893_CATALYTIC	SYS_15893_CBIK	sirohydrochlorin cobaltochelatase	Required catalytic protein.
COMP_17997_CATALYTIC	SYS_17997_CBIL	cobalt-factor II C20-methyltransferase CbiL	Required catalytic protein.
COMP_36155_CATALYTIC	SYS_36155_CBIH	cobalt-factor III methyltransferase CbiH	Required catalytic protein.
COMP_26277_CATALYTIC	SYS_26277_CBIF	cobalt-precorrin-4 C11-methyltransferase CbiF	Required catalytic protein.
COMP_26281_CATALYTIC	SYS_26281_CBIG	cobalt-precorrin-5A hydrolase CbiG	Required catalytic protein.
COMP_26285_CATALYTIC	SYS_26285_CBID	cobalt-precorrin-5B C1-methyltransferase CbiD	Required catalytic protein.
COMP_15625_CATALYTIC	SYS_15625_CBIJ	cobalt-precorrin-6A reductase CbiJ	Required catalytic protein.
COMP_36067_CATALYTIC	SYS_36067_CBIT	cobalt-precorrin-6B C15-methyltransferase CbiT	Required catalytic protein.
COMP_34591_CATALYTIC	SYS_34591_CBIE	cobalt-precorrin-7 C5-methyltransferase CbiE	Required catalytic protein.
COMP_16209_CATALYTIC	SYS_16209_CBIC	cobalt-precorrin-8 methylmutase CbiC	Required catalytic protein.
COMP_26289_CATALYTIC	SYS_26289_CBIA	cobyrinate a,c-diamide synthase CbiA	Required catalytic protein.
COMP_16841_CATALYTIC	SYS_16841_COBI	precorrin-2 C20-methyltransferase CobI	Required catalytic protein.
COMP_17293_CATALYTIC	SYS_17293_COBG	precorrin-3B synthase CobG	Required catalytic protein.
COMP_12761_CATALYTIC	SYS_12761_COBJ	precorrin-3B C17-methyltransferase CobJ	Required catalytic protein.
COMP_22012_CATALYTIC	SYS_22012_COBM	precorrin-4 C11-methyltransferase CobM	Required catalytic protein.
COMP_18261_CATALYTIC	SYS_18261_COBF	precorrin-6A synthase CobF	Required catalytic protein.
COMP_23408_CATALYTIC	SYS_23408_COBK	precorrin-6A reductase CobK	Required catalytic protein.
COMP_17477_CATALYTIC	SYS_17477_COBL	precorrin-6B C5,C15-methyltransferase CobL	Required catalytic protein.
COMP_22512_CATALYTIC	SYS_22512_COBH	precorrin-8X methylmutase CobH	Required catalytic protein.
COMP_12544_CATALYTIC	SYS_12544_COBB	hydrogenobyrinate a,c-diamide synthase CobB	Required catalytic protein.
COMP_15341_COBN	SYS_15341_COBNST	cobaltochelatase subunit CobN	Required subunit of the complex.
COMP_15341_COBS_SUB	SYS_15341_COBNST	cobaltochelatase subunit CobS	Required subunit of the complex.
COMP_15341_COBT_SUB	SYS_15341_COBNST	cobaltochelatase subunit CobT	Required subunit of the complex.
COMP_11528_CATALYTIC	SYS_11528_COBA_ADO	cob(I)yrinate a,c-diamide adenosyltransferase	Required catalytic protein.
COMP_23256_CATALYTIC	SYS_23256_CBIP	adenosylcobyric acid synthase CbiP	Required catalytic protein.
COMP_21896_CATALYTIC	SYS_21896_CBIB	adenosylcobinamide-phosphate synthase	Required catalytic protein.
COMP_22712_CATALYTIC	SYS_22712_COBU	adenosylcobinamide-phosphate guanylyltransferase CobU	Required catalytic protein.
COMP_11196_CATALYTIC	SYS_11196_COBT	nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase CobT	Required catalytic protein.
COMP_24456_CATALYTIC	SYS_24456_COBC_P	alpha-ribazole phosphatase CobC	Required catalytic protein.
