system_id	reaction_id	name	description
SYS_20397_METB	RHEA:20397	cystathionine gamma-synthase	Single-protein catalytic system acting on O-succinyl-L-homoserine.
SYS_30931_METB	RHEA:30931	cystathionine gamma-synthase	Single-protein catalytic system acting on O-acetyl-L-homoserine.
SYS_80891_CGS1	RHEA:80891	plant cystathionine gamma-synthase	Single-protein catalytic system acting on O-phospho-L-homoserine.
SYS_13965_CBL	RHEA:13965	cystathionine beta-lyase	Single-protein catalytic system with alternative orthology markers.
SYS_27826_METZ	RHEA:27826	O-succinylhomoserine sulfhydrylase	Single-protein catalytic system restricted to the dedicated sulfhydrylase orthologue.
SYS_27822_METY	RHEA:27822	O-acetylhomoserine sulfhydrylase	Single-protein catalytic system with alternative orthology markers.
SYS_11172_METH	RHEA:11172	cobalamin-dependent methionine synthase	Single-protein catalytic system; the cobalamin cofactor is not a separate evidence component.
SYS_21196_METE	RHEA:21196	cobalamin-independent methionine synthase	Single-protein catalytic system.
SYS_24560_CYSE	RHEA:24560	serine O-acetyltransferase	Single-protein catalytic system.
SYS_14829_OASS	RHEA:14829	cysteine synthase	Single-protein catalytic system with alternative orthology markers.
SYS_10112_CBS	RHEA:10112	cystathionine beta-synthase	Single-protein catalytic system acting on L-serine.
SYS_32743_MCCA	RHEA:32743	cystathionine beta-synthase (O-acetyl-L-serine)	Single-protein catalytic system acting on O-acetyl-L-serine.
SYS_14005_CGL	RHEA:14005	cystathionine gamma-lyase	Single-protein catalytic system with alternative orthology markers.
SYS_22816_XYLA	RHEA:22816	xylose isomerase	Single-protein catalytic system.
SYS_10964_XYLB	RHEA:10964	xylulokinase	Single-protein catalytic system.
SYS_14821_ARAA	RHEA:14821	L-arabinose isomerase	Single-protein catalytic system.
SYS_22072_ARAB	RHEA:22072	L-ribulokinase	Single-protein catalytic system.
SYS_22368_ARAD	RHEA:22368	L-ribulose-5-phosphate 4-epimerase	Single-protein catalytic system.
SYS_17233_FUCI	RHEA:17233	L-fucose isomerase	Single-protein catalytic system.
SYS_12376_FUCK	RHEA:12376	L-fuculokinase	Single-protein catalytic system.
SYS_12933_FUCA	RHEA:12933	L-fuculose-1-phosphate aldolase	Single-protein catalytic system.
SYS_23160_RHAA	RHEA:23160	L-rhamnose isomerase	Single-protein catalytic system.
SYS_20117_RHAB	RHEA:20117	rhamnulokinase	Single-protein catalytic system.
SYS_19689_RHAD	RHEA:19689	rhamnulose-1-phosphate aldolase	Single-protein catalytic system.
SYS_28675_GALM	RHEA:28675	aldose 1-epimerase	Single-protein catalytic system.
SYS_13553_GALK	RHEA:13553	galactokinase	Single-protein catalytic system.
SYS_13989_GALT	RHEA:13989	galactose-1-phosphate uridylyltransferase	Single-protein catalytic system.
SYS_22168_GALE	RHEA:22168	UDP-glucose 4-epimerase	Single-protein catalytic system.
SYS_17417_NAGK	RHEA:17417	N-acetylglucosamine kinase	Single-protein catalytic system.
SYS_22936_NAGA	RHEA:22936	N-acetylglucosamine-6-phosphate deacetylase	Single-protein catalytic system.
SYS_12172_NAGB	RHEA:12172	glucosamine-6-phosphate deaminase	Single-protein catalytic system.
SYS_23296_NANA	RHEA:23296	N-acetylneuraminate lyase	Single-protein catalytic system.
SYS_25253_NANK	RHEA:25253	N-acetylmannosamine kinase	Single-protein catalytic system.
SYS_25257_NANE	RHEA:25257	N-acetylmannosamine-6-phosphate 2-epimerase	Single-protein catalytic system.
SYS_27702_UXAC	RHEA:27702	glucuronate isomerase	Single-protein catalytic system.
SYS_17813_UXAB	RHEA:17813	tagaturonate reductase	Single-protein catalytic system.
SYS_14797_KDGK	RHEA:14797	2-dehydro-3-deoxygluconokinase	Single-protein catalytic system.
SYS_17089_EDA	RHEA:17089	2-dehydro-3-deoxy-phosphogluconate aldolase	Single-protein catalytic system.
SYS_13049_UXAC	RHEA:13049	glucuronate isomerase	Single-protein catalytic system.
SYS_15729_UXUB	RHEA:15729	fructuronate reductase	Single-protein catalytic system.
SYS_20097_UXUA	RHEA:20097	mannonate dehydratase	Single-protein catalytic system.
SYS_15957_MONOMER	RHEA:15957	altronate hydrolase	Single-protein catalytic system.
SYS_15957_HETERODIMER	RHEA:15957	two-subunit altronate dehydratase	Two jointly required protein subunits.
SYS_29899_XYLFGH	RHEA:29899	XylFGH ABC importer	Three jointly required subunits.
SYS_29899_XACGHI	RHEA:29899	XacGHI dual-specificity ABC importer	Three jointly required subunits; characterised on both pentoses.
SYS_30007_ARAFGH	RHEA:30007	AraFGH ABC importer	Three jointly required subunits.
SYS_30007_XACGHI	RHEA:30007	XacGHI dual-specificity ABC importer	Three jointly required subunits; characterised on both pentoses.
SYS_ARAF	RXN_ARABINOXYLAN_ARAF_RELEASE	alpha-L-arabinofuranosidase	Single-protein catalytic system; CAZy families and orthologues are alternative evidence for the same role.
SYS_XYLANASE	RXN_XYLAN_ENDO_1_4	endo-1,4-beta-xylanase	Single-protein catalytic system; CAZy families and orthologues are alternative evidence for the same role.
SYS_XYLOSIDASE	RXN_XYLOOLIGO_EXO	xylan 1,4-beta-xylosidase	Single-protein catalytic system; CAZy families and orthologues are alternative evidence for the same role.
SYS_AMYLASE	RXN_STARCH_ENDO_1_4	alpha-amylase	Single-protein catalytic system; CAZy families and orthologues are alternative evidence for the same role.
SYS_PULLULANASE	RXN_STARCH_DEBRANCH_1_6	pullulanase	Single-protein catalytic system; CAZy families and orthologues are alternative evidence for the same role.
SYS_GLUCOSIDASE	RXN_MALTOOLIGO_EXO	alpha-glucosidase	Single-protein catalytic system; CAZy families and orthologues are alternative evidence for the same role.
SYS_DEACETYL	RXN_XYLAN_DEACETYL	acetylxylan esterase	Single-protein catalytic system; CAZy families and orthologues are alternative evidence for the same role.
SYS_COLLAGENASE_M9	RXN_COLLAGEN_HELIX_CLEAVAGE	microbial collagenase	Single-protein catalytic system; the orthologue and the Pfam domain are alternative evidence for the same protein, not alternative enzymes.
