anchor_id	molecule	compartment	name	chebi_id	description
GTP	GTP	unspecified	GTP	CHEBI:15996	Purine nucleotide that supplies the pyrimidinedione ring of riboflavin and the pterin ring of folate. Input-only: guanylate biosynthesis is curated to GMP, and the phosphorylation between them is shared metabolism gifter does not curate.
RIBULOSE_5P	RIBULOSE_5P	unspecified	D-ribulose 5-phosphate	CHEBI:17363	Pentose phosphate intermediate that supplies the four-carbon unit of the riboflavin xylene ring.
RIBOFLAVIN	RIBOFLAVIN	unspecified	riboflavin	CHEBI:17015	Vitamin B2, and the boundary at which flavin identity is established. The kinase and adenylyltransferase that make FMN and FAD from it are shared housekeeping and are not curated.
CHORISMATE	CHORISMATE	unspecified	chorismate	CHEBI:17333	Aromatic branchpoint that leaves shikimate metabolism for 4-aminobenzoate and for menaquinone.
PABA	PABA	unspecified	4-aminobenzoate	CHEBI:17836	Vitamin-adjacent boundary metabolite: the aromatic half of folate, separately synthesised, separately auxotrophic, and separately salvaged.
THF	THF	unspecified	(6S)-5,6,7,8-tetrahydrofolate	CHEBI:15635	Vitamin B9 in the reduced form that carries one-carbon units. Output boundary of folate biosynthesis.
AIR	AIR	unspecified	5-amino-1-(5-phospho-beta-D-ribosyl)imidazole	CHEBI:138560	Purine pathway intermediate that ThiC rearranges into the thiamine pyrimidine. Declared here as an input boundary only; it is never an output anchor, so it creates no edge from purine biosynthesis.
DXP	DXP	unspecified	1-deoxy-D-xylulose 5-phosphate	CHEBI:16493	Isoprenoid and thiamine precursor supplying the thiazole carbon skeleton and, in the DXP-dependent route, the pyridoxine ring.
HMP_PP	HMP_PP	unspecified	4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine	CHEBI:57841	Activated thiamine pyrimidine moiety; the branchpoint where de novo synthesis and precursor salvage converge.
THZ_P	THZ_P	unspecified	4-methyl-5-(2-phosphooxyethyl)-thiazole	CHEBI:58296	Activated thiamine thiazole moiety; the second convergence point of de novo synthesis and salvage.
TMP	TMP	unspecified	thiamine phosphate	CHEBI:26945	Vitamin B1 as the phosphate ester. The boundary stops here rather than at thiamine diphosphate because the ThiL kinase is unevenly annotated and its absence is an annotation gap rather than an auxotrophy.
HMP	HMP	unspecified	4-amino-5-hydroxymethyl-2-methylpyrimidine	CHEBI:16892	Free thiamine pyrimidine, acquired from the environment and phosphorylated by salvage.
HET	HET	unspecified	5-(2-hydroxyethyl)-4-methylthiazole	CHEBI:17957	Free thiamine thiazole, acquired from the environment and phosphorylated by salvage.
OXOISOVALERATE	OXOISOVALERATE	unspecified	3-methyl-2-oxobutanoate	CHEBI:11851	Branched-chain 2-oxo acid shared with valine biosynthesis; the carbon skeleton of pantoate.
PANTOTHENATE	PANTOTHENATE	unspecified	(R)-pantothenate	CHEBI:29032	Vitamin B5. The boundary stops here: the five steps that convert it to coenzyme A are shared housekeeping.
RIBOSE_5P	RIBOSE_5P	unspecified	D-ribose 5-phosphate	CHEBI:78679	Pentose phosphate intermediate; the ring precursor of the DXP-independent route to pyridoxal 5-phosphate.
E4P	E4P	unspecified	D-erythrose 4-phosphate	CHEBI:48153	Pentose phosphate intermediate; the entry point of the DXP-dependent route to pyridoxal 5-phosphate.
PLP	PLP	unspecified	pyridoxal 5'-phosphate	CHEBI:18405	Vitamin B6 in its catalytically active form, which is also the product of both biosynthetic routes, so no separate activation step exists to exclude.
PIMELOYL_COA	PIMELOYL_COA	unspecified	pimeloyl-CoA	CHEBI:57360	Seven-carbon dicarboxylic thioester that supplies the biotin valeric acid side chain. The marker layer does not distinguish it from the acyl-carrier-protein thioester used by the BioC/BioH route, so the anchor names the CoA form and the claim covers both.
BIOTIN	BIOTIN	unspecified	biotin	CHEBI:15956	Vitamin B7, the carboxyl carrier cofactor of acetyl-CoA and pyruvate carboxylases.
QUINOLINATE	QUINOLINATE	unspecified	quinolinate	CHEBI:132942	Committed pyridine precursor of NAD, and the point at which de novo synthesis is separated from salvage.
NAMN	NAMN	unspecified	nicotinate D-ribonucleotide	CHEBI:57502	Nicotinate mononucleotide: the junction where de novo quinolinate chemistry, nicotinate salvage and cobamide lower-ligand attachment all meet.
NAD	NAD	unspecified	NAD(+)	CHEBI:15846	Nicotinamide adenine dinucleotide, the product that makes a genome independent of exogenous niacin.
NICOTINATE	NICOTINATE	unspecified	nicotinate	CHEBI:32544	Vitamin B3 as acquired from the environment; the input boundary of pyridine salvage.
UROGEN_III	UROGEN_III	unspecified	uroporphyrinogen III	CHEBI:15437	Tetrapyrrole branchpoint. Heme, siroheme and the corrin ring all leave shared metabolism here, which is why the cobalamin claim starts at this molecule and not earlier.
COBYRINATE_DIAMIDE	COBYRINATE_DIAMIDE	unspecified	cob(II)yrinate a,c diamide	CHEBI:27937	Completed, cobalt-loaded corrin ring. Both the aerobic and the anaerobic ring routes converge here, and everything after it is shared by de novo synthesis and corrinoid salvage.
ADENOSYLCOBINAMIDE_P	ADENOSYLCOBINAMIDE_P	unspecified	adenosylcobinamide phosphate	CHEBI:58502	Adenosylated corrinoid carrying its aminopropanol arm, ready for lower-ligand attachment. This is the molecule a corrinoid salvager imports and remodels.
DMB	DMB	unspecified	5,6-dimethylbenzimidazole	CHEBI:15890	The lower ligand that makes a cobamide into vitamin B12. A genome that assembles the nucleotide loop without it makes a different cobamide, which is not the vitamin.
COBALAMIN	COBALAMIN	unspecified	adenosylcobalamin	CHEBI:18408	Vitamin B12 in its coenzyme form, complete with the dimethylbenzimidazole lower ligand.
MENAQUINONE	MENAQUINONE	unspecified	menaquinone	CHEBI:16374	Vitamin K2. The terminal curated reaction is written on the quinol couple, as Rhea writes it; the anchor names the vitamin.
FMNH2	FMNH2	unspecified	FMNH2	CHEBI:16048	Reduced flavin mononucleotide, consumed rather than recycled by BluB, which dismantles it to build the benzimidazole ring. Declared input-only: it is the one cofactor in this layer that a reaction destroys.
OXALOACETATE	OXALOACETATE	unspecified	oxaloacetate	CHEBI:16452	Four-carbon junction connecting citric acid cycle chemistry, anaplerosis, gluconeogenesis and the aspartate family. Declared as both an input and an output of the cycle segments because the ring closes through it.
OXOGLUTARATE	OXOGLUTARATE	unspecified	2-oxoglutarate	CHEBI:16810	The largest carbon-nitrogen junction in bacterial metabolism: the ammonium acceptor of glutamate synthesis and, through glutamate, the amino donor of most transaminations.
SUCCINATE	SUCCINATE	unspecified	succinate	CHEBI:30031	Boundary of citric acid cycle chemistry, of the Wood-Werkman route to propionate and of tetrapyrrole synthesis through succinyl-CoA. gifter makes no claim that a genome releases succinate; that trait is refused in inst/doc/proposal-organic-acid-formation.md section 6.4.
FUMARATE	FUMARATE	unspecified	fumarate	CHEBI:29806	Oxidised partner of the succinate/fumarate couple. gifter models no electron acceptors, so this anchor supports no fumarate respiration claim, and it is deliberately not attached to the purine or pyrimidine GIFTs whose routes involve fumarate as a co-product.
PEP	PEP	unspecified	phosphoenolpyruvate	CHEBI:58702	Glycolytic intermediate and the C3 donor of the shikimate pathway, consumed twice: once by the DAHP synthase condensation with erythrose 4-phosphate and once by the EPSP synthase transfer. Declared as an input boundary only; nothing in gifter produces it yet.
SALICYLATE	SALICYLATE	unspecified	salicylate	CHEBI:30762	2-hydroxybenzoate. In bacteria it is a chorismate-derived siderophore building block, incorporated into pyochelin, yersiniabactin and mycobactin; in plants it is a defence hormone. The anchor names the free acid, which is where the curated chemistry stops: the salicyl-AMP ligase that commits it to a siderophore is a separate capability.
TRYPTOPHAN	TRYPTOPHAN	unspecified	L-tryptophan	CHEBI:57912	Aromatic amino acid and a branchpoint in its own right: the precursor of indole-3-acetate, of indole, of the kynurenines and of tryptophan-derived alkaloids, as well as a protein building block. Declared so that indole-3-acetate biosynthesis is not bundled with aromatic amino acid biosynthesis.
INDOLE_3_ACETATE	INDOLE_3_ACETATE	unspecified	(indol-3-yl)acetate	CHEBI:30854	The auxin. Bacterial production is a plant-interaction trait rather than a growth requirement, and the anchor is the free acid; conjugation to amino acids or sugars is not curated.
AMMONIUM	AMMONIUM	unspecified	ammonium	CHEBI:28938	Convergence point of every nitrogen-liberating capability and the entry point of assimilation. Declared under the nitrogen-anchor rule: ammonium is an anchor only where a reaction exists to liberate or assimilate it, never where it is a leaving group of chemistry aimed at something else. Three of the four curated reactions that mention it are therefore excluded; see database_changes.
NITRATE	NITRATE	unspecified	nitrate	CHEBI:17632	Environmental inorganic nitrogen source. Input-only, and deliberately compartment-unresolved: the specific NrtABCD importer covers 1582 genomes but the commoner NarK/NRT2 carrier is shared with nitrite and with respiratory contexts, so no transporter licenses a split. Supports no nitrate respiration claim; gifter models no electron acceptors.
UREA	UREA	unspecified	urea	CHEBI:16199	Host- and diet-derived nitrogen source, and independently the product of allantoin and creatinine degradation. The layer's clearest shared boundary. Compartment unresolved: three unrelated transport mechanisms carry it, two of them passive channels, and urea also arises intracellularly.
URATE	URATE	unspecified	urate	CHEBI:17775	Host purine end product and the entry point of ureide catabolism. This is the species RHEA:21368 itself uses, although ChEBI displays it under its systematic name.
ALLANTOIN	ALLANTOIN	unspecified	(S)-allantoin	CHEBI:15678	Branchpoint of purine nitrogen catabolism: released by urate degraders and consumed by the 774 genomes that degrade it while carrying no uricase of any kind. The clearest cross-feeding boundary in the database outside sugars.
GLYOXYLATE	GLYOXYLATE	unspecified	glyoxylate	CHEBI:36655	Carbon fate of allantoin degradation. It remains an output-only boundary: the glyoxylate bypass produces and consumes glyoxylate internally, so declaring an input edge would misstate the boundary of that complete route.
SARCOSINE	SARCOSINE	unspecified	sarcosine	CHEBI:57433	Convergence point of betaine and creatinine catabolism, and the reason both are cut here. Its own demethylation is commoner than either upstream capability, so curating betaine-to-glycine and creatinine-to-glycine separately would duplicate the same reaction in two GIFTs.
BETAINE	BETAINE	unspecified	glycine betaine	CHEBI:17750	Diet- and host-derived osmolyte, and the product of carnitine catabolism through the betainyl-CoA route. Declared as both an input and an output boundary of different GIFTs, which is what makes carnitine reach glycine by composition.
CARNITINE	CARNITINE	unspecified	(R)-carnitine	CHEBI:16347	Animal-tissue- and host-derived quaternary amine. Two curated capabilities consume it and they release different products, which is why they are separate GIFTs rather than two routes of one.
CREATININE	CREATININE	unspecified	creatinine	CHEBI:16737	Host muscle metabolite. Input-only.
TRIMETHYLAMINE	TRIMETHYLAMINE	unspecified	trimethylammonium	CHEBI:58389	Released product that the producing organism does not use and that the host converts to trimethylamine N-oxide. Output-only. A positive call means the chemistry is encoded, not that trimethylamine is produced, released, or reaches a host.
METHYLAMINE	METHYLAMINE	unspecified	methylammonium	CHEBI:59338	Environmental and microbially derived methylated amine. Input-only.
TAURINE_EX	TAURINE	extracellular	taurine	CHEBI:507393	Host-derived aminosulfonate, released outside the cell by bile-salt hydrolases acting on taurine-conjugated bile acids. Split from the cytoplasmic form because TauABC is a specific and complete ABC importer, the same licence used for xylose and arabinose.
TAURINE_IN	TAURINE	cytoplasmic	taurine	CHEBI:507393	Taurine in the cytoplasm, where both curated desulfonation capabilities begin.
SULFITE	SULFITE	unspecified	sulfite	CHEBI:17359	Product boundary of taurine desulfonation. Assimilatory sulfate reduction passes through sulfite internally on its way to sulfide; dissimilatory sulfite reduction remains outside this GIFT.
GLUTAMATE	GLUTAMATE	unspecified	L-glutamate	CHEBI:29985	The nitrogen a cell can actually build with, and the sink that keeps ammonium from being a terminal boundary. Declared for ammonium assimilation only; glutamate metabolism generally is not curated, and reactions elsewhere that consume it internally gain no edge from it.
BENZOATE	BENZOATE	unspecified	benzoate	CHEBI:16150	Aromatic monocarboxylate. A plant secondary metabolite and a food preservative, and the compound most aerobic peripheral aromatic routes converge on before the ring is opened.
CATECHOL	CATECHOL	unspecified	catechol	CHEBI:18135	The dihydroxylated ring that aerobic ring cleavage acts on. Several peripheral routes converge here, which is why it is a boundary rather than an internal intermediate.
OXOADIPATE	OXOADIPATE	unspecified	3-oxoadipate	CHEBI:15775	Product of ortho ring cleavage and lactone hydrolysis. It is no longer aromatic, and it exists only because a ring was opened.
OXOADIPYL_COA	OXOADIPYL_COA	unspecified	3-oxoadipyl-CoA	CHEBI:57348	The CoA thioester where the ortho-cleavage funnel and the aerobic phenylacetate route meet, one thiolysis short of central metabolism.
OXOPENTENOATE	OXOPENTENOATE	unspecified	2-oxopent-4-enoate	CHEBI:11641	Product of meta ring cleavage and of extradiol cleavage of dihydroxyphenylpropanoate. Rhea writes the downstream hydratase on the enol tautomer, (2Z)-2-hydroxypenta-2,4-dienoate; the anchor is the molecule, not one tautomer.
SUCCINYL_COA	SUCCINYL_COA	unspecified	succinyl-CoA	CHEBI:57292	Central metabolite. Introduced here as the exit of the aromatic funnel, and available to the citric acid cycle segments if they are ever cut at this node.
PHENYLACETATE	PHENYLACETATE	unspecified	phenylacetate	CHEBI:18401	Product of phenylalanine fermentation and a substrate for aerobic CoA-dependent ring degradation.
PHENYLPROPANOATE	PHENYLPROPANOATE	unspecified	3-phenylpropanoate	CHEBI:51057	Dietary phenylpropanoid, also produced by gut fermentation of plant polyphenols. trans-Cinnamate is the same enzyme's other substrate and is deliberately not a separate anchor; see the GIFT description.
HPP	HPP	unspecified	3-(3-hydroxyphenyl)propanoate	CHEBI:57277	Meta-hydroxylated phenylpropanoid, the second entry into the same ring-cleavage node.
DHPP	DHPP	unspecified	3-(2,3-dihydroxyphenyl)propanoate	CHEBI:46951	Catecholic phenylpropanoid where the two entry routes converge, and the substrate of extradiol cleavage.
ANTHRANILATE	ANTHRANILATE	unspecified	anthranilate	CHEBI:16567	2-Aminobenzoate. A tryptophan catabolite of both host and microbial kynurenine metabolism, and a peripheral entry into the catechol node.
PHENOL	PHENOL	unspecified	phenol	CHEBI:15882	Product of microbial tyrosine fermentation and an industrial compound; hydroxylated to catechol in one step.
ALANINE	ALANINE	unspecified	L-alanine	CHEBI:57972	Stable amino acid product of pyruvate transamination or reductive amination.
ASPARAGINE	ASPARAGINE	unspecified	L-asparagine	CHEBI:58048	Stable amino acid product; the amidated form of aspartate.
MESO_DAP	MESO_DAP	unspecified	meso-2,6-diaminopimelate	CHEBI:57791	Branchpoint where the four diaminopimelate routes converge. It is both the immediate lysine precursor and the peptidoglycan cross-link residue of most Gram-negative and many Gram-positive walls, which is why the layer cuts here rather than at lysine.
LYSINE	LYSINE	unspecified	L-lysine	CHEBI:32551	Stable amino acid product of diaminopimelate decarboxylation.
OXOBUTANOATE	OXOBUTANOATE	unspecified	2-oxobutanoate	CHEBI:16763	Branchpoint 2-oxo acid that commits carbon to isoleucine. Reached by threonine deamination or by the citramalate route, and released again by methionine gamma-lyase, so it is the point where three otherwise unrelated capabilities meet.
VALINE	VALINE	unspecified	L-valine	CHEBI:57762	Stable amino acid product of branched-chain transamination.
LEUCINE	LEUCINE	unspecified	L-leucine	CHEBI:57427	Stable amino acid product of the isopropylmalate chain extension.
ISOLEUCINE	ISOLEUCINE	unspecified	L-isoleucine	CHEBI:58045	Stable amino acid product of the isoleucine branch of the acetohydroxyacid pathway.
PHENYLALANINE	PHENYLALANINE	unspecified	L-phenylalanine	CHEBI:58095	Stable aromatic amino acid product of the prephenate dehydratase branch.
TYROSINE	TYROSINE	unspecified	L-tyrosine	CHEBI:58315	Stable aromatic amino acid product of the prephenate dehydrogenase branch.
HISTIDINE	HISTIDINE	unspecified	L-histidine	CHEBI:57595	Stable amino acid product of the ten-step pathway from PRPP.
PROLINE	PROLINE	unspecified	L-proline	CHEBI:60039	Stable amino acid product of glutamate cyclisation and reduction; also the substrate of Stickland proline reduction.
ORNITHINE	ORNITHINE	unspecified	L-ornithine	CHEBI:46911	Branchpoint of the glutamate family: the arginine precursor, the product of the arginine deiminase pathway, and the polyamine precursor. Declared with an unspecified compartment; the arginine/ornithine antiporter makes it a compartment-split candidate once transport is curated.
ARGININE	ARGININE	unspecified	L-arginine	CHEBI:32682	Stable amino acid product, and the substrate of the arginine deiminase pathway.
GABA	GABA	unspecified	4-aminobutanoate	CHEBI:59888	Decarboxylation product of glutamate; a fermentable substrate for other community members and a neuroactive compound in the host gut.
INDOLE	INDOLE	unspecified	indole	CHEBI:16881	Released tryptophan catabolite. It is an aryl hydrocarbon receptor ligand and an interspecies signal, and it is the molecule the classical clinical indole test detects.
METHANETHIOL	METHANETHIOL	unspecified	methanethiol	CHEBI:16007	Released volatile sulfur compound of methionine catabolism.
ACETYL_PHOSPHATE	ACETYL_PHOSPHATE	unspecified	acetyl phosphate	CHEBI:22191	Sole product of the Stickland glycine reduction and the phosphate donor of substrate-level ATP synthesis. Declared as a boundary because a metabolic GIFT must state one and glycine reductase has no other product; acetate interconversion continues to hold the same molecule internally, so the two do not connect until that GIFT is re-cut.
AMINOPENTANOATE	AMINOPENTANOATE	unspecified	5-aminopentanoate	CHEBI:356010	Released end product of Stickland proline reduction.
ISOCITRATE	ISOCITRATE	unspecified	D-threo-isocitrate	CHEBI:15562	Central branchpoint exposed so the oxidative decarboxylation and glyoxylate bypass are separately composable without duplicating citrate synthase and aconitase.
NITROGEN	NITROGEN	unspecified	dinitrogen	CHEBI:17997	Atmospheric dinitrogen at the boundary of nitrogen fixation. The unspecified compartment records no localisation or environmental availability claim.
SULFATE	SULFATE	unspecified	sulfate	CHEBI:16189	Inorganic sulfur source at the boundary of assimilatory sulfate reduction. The unspecified compartment records no uptake claim.
ECTOINE	ECTOINE	unspecified	L-ectoine	CHEBI:58515	Compatible-solute product of the EctABC route. Declaring it as an output does not claim accumulation, export or osmotic protection.
HEME_B	HEME_B	unspecified	heme b	CHEBI:60344	Iron porphyrin product at the end of the protoporphyrin and coproporphyrin route families. It is distinct from siroheme and downstream heme derivatives.
DIHYDROXYBENZOATE_2_3	DIHYDROXYBENZOATE_2_3	unspecified	2,3-dihydroxybenzoate	CHEBI:36654	Catecholate branchpoint between chorismate-derived head synthesis and enterobactin or other siderophore assembly.
ENTEROBACTIN	ENTEROBACTIN	unspecified	enterobactin	CHEBI:77805	Cyclic catecholate siderophore product. The boundary does not assert secretion, metal binding in situ or uptake.
CHOLINE	CHOLINE	unspecified	choline	CHEBI:15354	Quaternary ammonium precursor of glycine betaine. The unspecified compartment records no uptake or environmental-availability claim.
SIROHEME	SIROHEME	unspecified	siroheme	CHEBI:60052	Iron isobacteriochlorin cofactor and branchpoint product of siroheme biosynthesis. Declaring it does not imply cofactor incorporation, reductase activity, sulfur or nitrogen metabolism, or conversion through the alternative heme pathway.
