component_id	namespace	accession	evidence_type	confidence	source	notes
COMP_27826_CATALYTIC	KO	K10764	orthology	curated	KEGG R01288 2026-08-17	MetZ is the dedicated O-succinylhomoserine sulfhydrylase. K01739 is rejected here although KEGG annotates MetB to R01288: the sulfhydrylase side activity of a cystathionine gamma-synthase is not evidence that a genome assimilates sulfide directly, and accepting it would make every transsulfuration genome positive for this GIFT.
COMP_27822_CATALYTIC	KO	K01740	orthology	curated	KEGG R01287 2026-08-17	Direct sulfhydrylation; absent from KEGG module M00017.
COMP_27822_CATALYTIC	KO	K17069	orthology	curated	KEGG R01287 2026-08-17	Bifunctional sulfhydrylase; the O-acetylserine activity is used by cysteine biosynthesis.
COMP_11172_CATALYTIC	KO	K00548	orthology	curated	KEGG M00017 2026-08-17	
COMP_11172_CATALYTIC	KO	K24042	orthology	curated	KEGG M00017 2026-08-17	Bifunctional protein; only the methionine synthase reaction is used here.
COMP_21196_CATALYTIC	KO	K00549	orthology	curated	KEGG M00017 2026-08-17	
COMP_24560_CATALYTIC	KO	K00640	orthology	curated	KEGG M00021 2026-08-17	
COMP_24560_CATALYTIC	KO	K23304	orthology	curated	KEGG M00021 2026-08-17	
COMP_14829_CATALYTIC	KO	K01738	orthology	curated	KEGG M00021 2026-08-17	
COMP_14829_CATALYTIC	KO	K13034	orthology	curated	KEGG M00021 2026-08-17	Bifunctional protein; only the cysteine synthase reaction is used here.
COMP_14829_CATALYTIC	KO	K17069	orthology	curated	KEGG M00021 2026-08-17	Bifunctional sulfhydrylase; the O-acetylhomoserine activity is used by methionine biosynthesis.
COMP_10112_CATALYTIC	KO	K01697	orthology	curated	KEGG M00338 2026-08-17	
COMP_10112_CATALYTIC	KO	K10150	orthology	curated	KEGG M00338 2026-08-17	Multifunctional protein; only the cystathionine beta-synthase reaction is used here.
COMP_32743_CATALYTIC	KO	K17216	orthology	curated	KEGG M00609 2026-08-17	Cysteine-forming step of M00609; the four SAM-cycle steps of that module are excluded.
COMP_14005_CATALYTIC	KO	K01758	orthology	curated	KEGG M00338 2026-08-17	
COMP_14005_CATALYTIC	KO	K17217	orthology	curated	KEGG M00609 2026-08-17	KEGG assigns both orthologues to R01001; they are alternative evidence for one reaction.
COMP_22816_CATALYTIC	KO	K01805	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_10964_CATALYTIC	KO	K00854	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_14821_CATALYTIC	KO	K01804	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_22072_CATALYTIC	KO	K00853	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_22072_CATALYTIC	KO	K24707	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_22368_CATALYTIC	KO	K03077	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_17233_CATALYTIC	KO	K01818	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_12376_CATALYTIC	KO	K00879	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_12933_CATALYTIC	KO	K01628	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_23160_CATALYTIC	KO	K01813	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_23160_CATALYTIC	KO	K01820	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_20117_CATALYTIC	KO	K00848	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_19689_CATALYTIC	KO	K01629	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_28675_CATALYTIC	KO	K01785	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_13553_CATALYTIC	KO	K00849	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_13989_CATALYTIC	KO	K00965	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_22168_CATALYTIC	KO	K01784	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_22168_CATALYTIC	KO	K17716	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_17417_CATALYTIC	KO	K00884	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_17417_CATALYTIC	KO	K28207	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_17417_CATALYTIC	KO	K28208	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	Cell wall recycling kinase acting on the same chemistry.
COMP_22936_CATALYTIC	KO	K01443	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_12172_CATALYTIC	KO	K02564	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_23296_CATALYTIC	KO	K01639	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_25253_CATALYTIC	KO	K00885	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_25253_CATALYTIC	KO	K13967	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	Bifunctional nanEK supports components in two reactions.
COMP_25257_CATALYTIC	KO	K01788	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_25257_CATALYTIC	KO	K13967	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	Bifunctional nanEK supports components in two reactions.
COMP_27702_CATALYTIC	KO	K01812	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_17813_CATALYTIC	KO	K00041	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_14797_CATALYTIC	KO	K00874	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_17089_CATALYTIC	KO	K01625	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_17089_CATALYTIC	KO	K17463	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_17089_CATALYTIC	KO	K28887	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_13049_CATALYTIC	KO	K01812	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_15729_CATALYTIC	KO	K00040	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_20097_CATALYTIC	KO	K01686	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_20097_CATALYTIC	KO	K08323	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_15957_CATALYTIC	KO	K01685	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_15957_SMALL	KO	K16849	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_15957_LARGE	KO	K16850	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_29899_SBP	KO	K10543	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_29899_PERMEASE	KO	K10544	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_29899_ATPASE	KO	K10545	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_29899_XAC_SBP	KO	K25045	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	Dual-specificity system, characterised on both pentoses.
COMP_29899_XAC_PERM1	KO	K25046	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	Dual-specificity system, characterised on both pentoses.
COMP_29899_XAC_PERM2	KO	K25047	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	Dual-specificity system, characterised on both pentoses.
COMP_30007_SBP	KO	K10537	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_30007_PERMEASE	KO	K10538	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_30007_ATPASE	KO	K10539	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	
COMP_30007_XAC_SBP	KO	K25045	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	Dual-specificity system, characterised on both pentoses.
COMP_30007_XAC_PERM1	KO	K25046	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	Dual-specificity system, characterised on both pentoses.
COMP_30007_XAC_PERM2	KO	K25047	orthology	curated	KEGG orthology and Rhea release 141, verified 2026-08-18	Dual-specificity system, characterised on both pentoses.
COMP_ARAF	KO	K01209	orthology	curated	KEGG orthology, verified 2026-08-18	
COMP_ARAF	KO	K15921	orthology	curated	KEGG orthology, verified 2026-08-18	
COMP_ARAF	KO	K20844	orthology	curated	KEGG orthology, verified 2026-08-18	
COMP_ARAF	CAZY	GH2	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 11 distinct characterised activities in dbCAN.
COMP_ARAF	CAZY	GH3	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 19 distinct characterised activities in dbCAN.
COMP_ARAF	CAZY	GH43	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 8 distinct characterised activities in dbCAN.
COMP_ARAF	CAZY	GH5	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 28 distinct characterised activities in dbCAN.
COMP_ARAF	CAZY	GH51	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 6 distinct characterised activities in dbCAN.
COMP_ARAF	CAZY	GH54	sequence_family	high-confidence	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 3 distinct characterised activities in dbCAN.
COMP_ARAF	CAZY	GH62	sequence_family	curated	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 1 characterised activity in dbCAN.
COMP_XYLANASE	KO	K01181	orthology	curated	KEGG orthology, verified 2026-08-18	
COMP_XYLANASE	CAZY	GH10	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 7 distinct characterised activities in dbCAN.
COMP_XYLANASE	CAZY	GH11	sequence_family	high-confidence	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 2 distinct characterised activities in dbCAN.
COMP_XYLANASE	CAZY	GH141	sequence_family	high-confidence	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 2 distinct characterised activities in dbCAN.
COMP_XYLANASE	CAZY	GH30	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 9 distinct characterised activities in dbCAN.
COMP_XYLANASE	CAZY	GH43	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 8 distinct characterised activities in dbCAN.
COMP_XYLANASE	CAZY	GH44	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 4 distinct characterised activities in dbCAN.
COMP_XYLANASE	CAZY	GH5	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 28 distinct characterised activities in dbCAN.
COMP_XYLANASE	CAZY	GH51	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 6 distinct characterised activities in dbCAN.
COMP_XYLANASE	CAZY	GH8	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 7 distinct characterised activities in dbCAN.
COMP_XYLANASE	CAZY	GH9	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 9 distinct characterised activities in dbCAN.
COMP_XYLANASE	CAZY	GH98	sequence_family	high-confidence	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 2 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	KO	K01198	orthology	curated	KEGG orthology, verified 2026-08-18	
COMP_XYLOSIDASE	KO	K15920	orthology	curated	KEGG orthology, verified 2026-08-18	
COMP_XYLOSIDASE	KO	K22268	orthology	curated	KEGG orthology, verified 2026-08-18	
COMP_XYLOSIDASE	CAZY	GH1	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 30 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	CAZY	GH10	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 7 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	CAZY	GH11	sequence_family	high-confidence	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 2 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	CAZY	GH116	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 5 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	CAZY	GH120	sequence_family	curated	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 1 characterised activity in dbCAN.
COMP_XYLOSIDASE	CAZY	GH2	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 11 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	CAZY	GH3	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 19 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	CAZY	GH30	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 9 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	CAZY	GH39	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 6 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	CAZY	GH43	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 8 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	CAZY	GH5	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 28 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	CAZY	GH51	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 6 distinct characterised activities in dbCAN.
COMP_XYLOSIDASE	CAZY	GH52	sequence_family	curated	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 1 characterised activity in dbCAN.
COMP_XYLOSIDASE	CAZY	GH54	sequence_family	high-confidence	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 3 distinct characterised activities in dbCAN.
COMP_AMYLASE	KO	K01176	orthology	curated	KEGG orthology, verified 2026-08-18	
COMP_AMYLASE	KO	K07405	orthology	curated	KEGG orthology, verified 2026-08-18	
COMP_AMYLASE	CAZY	GH119	sequence_family	curated	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 1 characterised activity in dbCAN.
COMP_AMYLASE	CAZY	GH126	sequence_family	curated	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 1 characterised activity in dbCAN.
COMP_AMYLASE	CAZY	GH13	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 34 distinct characterised activities in dbCAN.
COMP_AMYLASE	CAZY	GH57	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 7 distinct characterised activities in dbCAN.
COMP_PULLULANASE	KO	K01200	orthology	curated	KEGG orthology, verified 2026-08-18	
COMP_PULLULANASE	CAZY	GH13	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 34 distinct characterised activities in dbCAN.
COMP_PULLULANASE	CAZY	GH57	sequence_family	ambiguous	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 7 distinct characterised activities in dbCAN.
COMP_GLUCOSIDASE	KO	K01187	orthology	curated	KEGG orthology, verified 2026-08-18	
COMP_GLUCOSIDASE	CAZY	GH122	sequence_family	curated	CAZy via dbCAN db_v5-2-9_5-5-2026 fam-substrate-mapping, retrieved 2026-08-18	Family carries 1 characterised activity in dbCAN.
