reaction_id	rhea_master	name	description
RHEA:24296	RHEA:24296	dihydroorotase reaction	Cyclization to (S)-dihydroorotate; used in reverse relative to the Rhea master equation.
RHEA:30059	RHEA:30059	fumarate-dependent dihydroorotate dehydrogenase reaction	Oxidation of (S)-dihydroorotate to orotate using fumarate.
RHEA:30187	RHEA:30187	quinone-dependent dihydroorotate dehydrogenase reaction	Oxidation of (S)-dihydroorotate to orotate using a quinone.
RHEA:13513	RHEA:13513	NAD-dependent dihydroorotate dehydrogenase reaction	Oxidation of (S)-dihydroorotate to orotate using NAD(+).
RHEA:10380	RHEA:10380	orotate phosphoribosyltransferase reaction	Formation of orotidine 5'-phosphate from orotate and PRPP; used in reverse relative to the Rhea master equation.
RHEA:11596	RHEA:11596	orotidine 5'-phosphate decarboxylase reaction	Formation of UMP from orotidine 5'-phosphate.
RHEA:26426	RHEA:26426	CTP synthase reaction	Glutamine-dependent amination of UTP to CTP.
RHEA:12641	RHEA:12641	3-phosphoglycerate dehydrogenase reaction	NAD-dependent oxidation of 3-phosphoglycerate to 3-phosphooxypyruvate, the committing step of phosphorylated serine biosynthesis.
RHEA:14329	RHEA:14329	phosphoserine aminotransferase reaction	Glutamate-dependent transamination forming O-phospho-L-serine; used in reverse relative to the Rhea master equation.
RHEA:21208	RHEA:21208	phosphoserine phosphatase reaction	Hydrolysis of O-phospho-L-serine to L-serine.
RHEA:15481	RHEA:15481	serine hydroxymethyltransferase reaction	Folate-dependent interconversion of serine and glycine; used in reverse relative to the Rhea master equation to form glycine.
RHEA:23776	RHEA:23776	aspartate kinase reaction	ATP-dependent phosphorylation of L-aspartate, the committing step of the aspartate amino acid family.
RHEA:24284	RHEA:24284	aspartate-semialdehyde dehydrogenase reaction	NADPH-dependent reduction of 4-phospho-L-aspartate to the semialdehyde; used in reverse relative to the Rhea master equation.
RHEA:15757	RHEA:15757	homoserine dehydrogenase reaction (NAD)	NAD-dependent reduction of L-aspartate 4-semialdehyde to L-homoserine; used in reverse relative to the Rhea master equation.
RHEA:15761	RHEA:15761	homoserine dehydrogenase reaction (NADP)	NADP-dependent reduction of L-aspartate 4-semialdehyde to L-homoserine; used in reverse relative to the Rhea master equation.
RHEA:13985	RHEA:13985	homoserine kinase reaction	ATP-dependent phosphorylation of L-homoserine to O-phospho-L-homoserine.
RHEA:10840	RHEA:10840	threonine synthase reaction	Conversion of O-phospho-L-homoserine to L-threonine.
RHEA:22008	RHEA:22008	homoserine O-succinyltransferase reaction	Succinyl-CoA-dependent activation of L-homoserine.
RHEA:13701	RHEA:13701	homoserine O-acetyltransferase reaction	Acetyl-CoA-dependent activation of L-homoserine.
RHEA:20397	RHEA:20397	cystathionine gamma-synthase reaction (O-succinylhomoserine)	Cysteine-dependent formation of L,L-cystathionine from O-succinyl-L-homoserine.
RHEA:30931	RHEA:30931	cystathionine gamma-synthase reaction (O-acetylhomoserine)	Cysteine-dependent formation of L,L-cystathionine from O-acetyl-L-homoserine.
RHEA:80891	RHEA:80891	plant cystathionine gamma-synthase reaction	Cysteine-dependent formation of L,L-cystathionine from O-phospho-L-homoserine.
RHEA:13965	RHEA:13965	cystathionine beta-lyase reaction	Cleavage of L,L-cystathionine to L-homocysteine and pyruvate.
RHEA:27826	RHEA:27826	O-succinylhomoserine sulfhydrylase reaction	Direct incorporation of inorganic sulfide into O-succinyl-L-homoserine to give L-homocysteine.
RHEA:27822	RHEA:27822	O-acetylhomoserine sulfhydrylase reaction	Direct incorporation of inorganic sulfide into O-acetyl-L-homoserine to give L-homocysteine.
RHEA:11172	RHEA:11172	cobalamin-dependent methionine synthase reaction	Methyl transfer from 5-methyltetrahydrofolate to L-homocysteine.
RHEA:21196	RHEA:21196	cobalamin-independent methionine synthase reaction	Methyl transfer from 5-methyltetrahydropteroyltriglutamate to L-homocysteine.
RHEA:24560	RHEA:24560	serine O-acetyltransferase reaction	Acetyl-CoA-dependent activation of L-serine to O-acetyl-L-serine.
RHEA:14829	RHEA:14829	cysteine synthase reaction	Incorporation of inorganic sulfide into O-acetyl-L-serine to give L-cysteine.
RHEA:10112	RHEA:10112	cystathionine beta-synthase reaction	Condensation of L-serine with L-homocysteine to give L,L-cystathionine.
RHEA:32743	RHEA:32743	cystathionine beta-synthase reaction (O-acetyl-L-serine)	Condensation of O-acetyl-L-serine with L-homocysteine to give L,L-cystathionine.
RHEA:14005	RHEA:14005	cystathionine gamma-lyase reaction	Cleavage of L,L-cystathionine to L-cysteine and 2-oxobutanoate.
RHEA:22816	RHEA:22816	xylose isomerase reaction	alpha-D-xylose = alpha-D-xylulofuranose.
RHEA:10964	RHEA:10964	xylulokinase reaction	D-xylulose + ATP = D-xylulose 5-phosphate + ADP.
RHEA:14821	RHEA:14821	L-arabinose isomerase reaction	beta-L-arabinopyranose = L-ribulose.
RHEA:22072	RHEA:22072	L-ribulokinase reaction	L-ribulose + ATP = L-ribulose 5-phosphate + ADP.
RHEA:22368	RHEA:22368	L-ribulose-5-phosphate 4-epimerase reaction	L-ribulose 5-phosphate = D-xylulose 5-phosphate.
RHEA:17233	RHEA:17233	L-fucose isomerase reaction	L-fucose = L-fuculose.
RHEA:12376	RHEA:12376	L-fuculokinase reaction	L-fuculose + ATP = L-fuculose 1-phosphate + ADP.
RHEA:12933	RHEA:12933	L-fuculose-1-phosphate aldolase reaction	L-fuculose 1-phosphate = (S)-lactaldehyde + dihydroxyacetone phosphate.
RHEA:23160	RHEA:23160	L-rhamnose isomerase reaction	L-rhamnopyranose = L-rhamnulose.
RHEA:20117	RHEA:20117	rhamnulokinase reaction	L-rhamnulose + ATP = L-rhamnulose 1-phosphate + ADP.
RHEA:19689	RHEA:19689	rhamnulose-1-phosphate aldolase reaction	L-rhamnulose 1-phosphate = (S)-lactaldehyde + dihydroxyacetone phosphate.
RHEA:28675	RHEA:28675	aldose 1-epimerase reaction on D-galactose	alpha-D-galactose = beta-D-galactose; used in reverse for catabolism.
RHEA:13553	RHEA:13553	galactokinase reaction	alpha-D-galactose + ATP = alpha-D-galactose 1-phosphate + ADP.
RHEA:13989	RHEA:13989	galactose-1-phosphate uridylyltransferase reaction	alpha-D-galactose 1-phosphate + UDP-alpha-D-glucose = alpha-D-glucose 1-phosphate + UDP-alpha-D-galactose.
RHEA:22168	RHEA:22168	UDP-glucose 4-epimerase reaction	UDP-alpha-D-glucose = UDP-alpha-D-galactose; used in reverse to regenerate UDP-glucose.
RHEA:17417	RHEA:17417	N-acetylglucosamine kinase reaction	N-acetyl-D-glucosamine + ATP = N-acetyl-D-glucosamine 6-phosphate + ADP.
RHEA:22936	RHEA:22936	N-acetylglucosamine-6-phosphate deacetylase reaction	N-acetyl-D-glucosamine 6-phosphate + H2O = D-glucosamine 6-phosphate + acetate.
RHEA:12172	RHEA:12172	glucosamine-6-phosphate deaminase reaction	alpha-D-glucosamine 6-phosphate + H2O = beta-D-fructose 6-phosphate + ammonium.
RHEA:23296	RHEA:23296	N-acetylneuraminate lyase reaction	aceneuramate = aldehydo-N-acetyl-D-mannosamine + pyruvate.
RHEA:25253	RHEA:25253	N-acetylmannosamine kinase reaction	aldehydo-N-acetyl-D-mannosamine + ATP = aldehydo-N-acetyl-D-mannosamine 6-phosphate + ADP.
RHEA:25257	RHEA:25257	N-acetylmannosamine-6-phosphate 2-epimerase reaction	N-acetyl-D-glucosamine 6-phosphate = aldehydo-N-acetyl-D-mannosamine 6-phosphate; used in reverse for catabolism.
RHEA:27702	RHEA:27702	glucuronate isomerase reaction on D-galacturonate	aldehydo-D-galacturonate = keto-D-tagaturonate.
RHEA:17813	RHEA:17813	tagaturonate reductase reaction	D-altronate + NAD+ = keto-D-tagaturonate + NADH; used in reverse for catabolism.
RHEA:15957	RHEA:15957	altronate dehydratase reaction	D-altronate = 2-dehydro-3-deoxy-D-gluconate + H2O.
RHEA:14797	RHEA:14797	2-dehydro-3-deoxygluconokinase reaction	2-dehydro-3-deoxy-D-gluconate + ATP = 2-dehydro-3-deoxy-6-phospho-D-gluconate + ADP.
RHEA:17089	RHEA:17089	2-dehydro-3-deoxy-phosphogluconate aldolase reaction	2-dehydro-3-deoxy-6-phospho-D-gluconate = D-glyceraldehyde 3-phosphate + pyruvate.
RHEA:13049	RHEA:13049	glucuronate isomerase reaction on D-glucuronate	D-glucuronate = D-fructuronate.
RHEA:15729	RHEA:15729	fructuronate reductase reaction	D-mannonate + NAD+ = keto-D-fructuronate + NADH; used in reverse for catabolism.
RHEA:20097	RHEA:20097	mannonate dehydratase reaction	D-mannonate = 2-dehydro-3-deoxy-D-gluconate + H2O.
RHEA:29899	RHEA:29899	ABC-type D-xylose import reaction	D-xylose(out) + ATP + H2O = D-xylose(in) + ADP + phosphate + H(+).
RHEA:30007	RHEA:30007	ABC-type L-arabinose import reaction	L-arabinose(out) + ATP + H2O = L-arabinose(in) + ADP + phosphate + H(+).
RXN_ARABINOXYLAN_ARAF_RELEASE		alpha-L-arabinofuranosidase reaction	Hydrolysis of terminal non-reducing alpha-L-arabinofuranosyl residues from arabinoxylan.
RXN_XYLAN_ENDO_1_4		endo-1,4-beta-xylanase reaction	Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylan.
RXN_XYLOOLIGO_EXO		xylan 1,4-beta-xylosidase reaction	Hydrolysis of (1->4)-beta-D-xylans to remove successive D-xylose residues from the non-reducing end.
RXN_STARCH_ENDO_1_4		alpha-amylase reaction	Endohydrolysis of (1->4)-alpha-D-glucosidic linkages in starch.
RXN_STARCH_DEBRANCH_1_6		pullulanase reaction	Hydrolysis of (1->6)-alpha-D-glucosidic linkages in pullulan and amylopectin.
RXN_MALTOOLIGO_EXO		alpha-glucosidase reaction	Hydrolysis of terminal non-reducing (1->4)-linked alpha-D-glucose residues, releasing alpha-D-glucose.
RXN_XYLAN_DEACETYL		acetylxylan esterase reaction	Hydrolysis of acetyl groups from the xylan backbone, exposing it to endo-acting xylanases.
RXN_COLLAGEN_HELIX_CLEAVAGE		microbial collagenase reaction	Digestion of native collagen in the triple-helical region at Gly bonds. Rhea covers collagen hydroxylation, glycosylation and crosslinking but contains no proteolytic cleavage of the helix, so this reaction carries no master and is identified by its EC cross-reference.
RHEA:28042	RHEA:28042	pyruvate dehydrogenase complex reaction	pyruvate + NAD(+) + CoA = acetyl-CoA + CO2 + NADH.
RHEA:12765	RHEA:12765	pyruvate:ferredoxin oxidoreductase reaction	2 oxidized [2Fe-2S]-[ferredoxin] + pyruvate + CoA = 2 reduced [2Fe-2S]-[ferredoxin] + acetyl-CoA + CO2 + H(+). Oxygen-sensitive.
RHEA:11844	RHEA:11844	pyruvate formate-lyase reaction	formate + acetyl-CoA = pyruvate + CoA; used in reverse relative to the Rhea master equation.
RHEA:19521	RHEA:19521	phosphate acetyltransferase reaction	acetyl-CoA + phosphate = acetyl phosphate + CoA.
RHEA:11352	RHEA:11352	acetate kinase reaction	acetate + ATP = acetyl phosphate + ADP; used in reverse for acetate formation.
RHEA:21036	RHEA:21036	acetyl-CoA C-acetyltransferase reaction	2 acetyl-CoA = acetoacetyl-CoA + CoA.
RHEA:16197	RHEA:16197	3-hydroxybutanoyl-CoA dehydrogenase reaction	(3S)-3-hydroxybutanoyl-CoA + NADP(+) = acetoacetyl-CoA + NADPH + H(+); used in reverse. The NAD-dependent RHEA:30799 is the same enzyme's alternative cofactor mode, is annotated to the same orthologue, and is not treated as a genomically distinct route.
RHEA:26558	RHEA:26558	3-hydroxybutanoyl-CoA dehydratase reaction	(3S)-3-hydroxybutanoyl-CoA = (2E)-butenoyl-CoA + H2O. The butanoyl-specific reaction is used rather than the generic short-chain master RHEA:52664, because a generic acyl chain length would not fix the product of the route.
RHEA:24004	RHEA:24004	butanoyl-CoA dehydrogenase reaction	butanoyl-CoA + oxidized [electron-transfer flavoprotein] + H(+) = (2E)-butenoyl-CoA + reduced [electron-transfer flavoprotein]; used in reverse.
RHEA:30071	RHEA:30071	butanoyl-CoA:acetate CoA-transferase reaction	butanoate + acetyl-CoA = butanoyl-CoA + acetate; used in reverse. The butanoate-specific reaction is used rather than the generic EC 2.8.3.8 master RHEA:13381, whose acyl-CoA is unspecified.
RHEA:15933	RHEA:15933	lactaldehyde reductase reaction	(S)-propane-1,2-diol + NAD(+) = (S)-lactaldehyde + NADH + H(+); used in reverse.
RHEA:14569	RHEA:14569	propanediol dehydratase reaction	propane-1,2-diol = propanal + H2O. Adenosylcobalamin-dependent, and stereochemically unspecified in Rhea while the declared boundary is the (S) diol.
RHEA:36027	RHEA:36027	propionaldehyde dehydrogenase reaction	propanal + NAD(+) + CoA = propanoyl-CoA + NADH + H(+).
RHEA:28046	RHEA:28046	phosphate propanoyltransferase reaction	propanoyl-CoA + phosphate = propanoyl phosphate + CoA.
RHEA:23148	RHEA:23148	propionate kinase reaction	propanoate + ATP = propanoyl phosphate + ADP; used in reverse for propionate formation.
RXN_LACTATE_COA_TRANSFER		propionate CoA-transferase reaction on lactate	(R)-lactate + propanoyl-CoA = (R)-lactoyl-CoA + propanoate. Rhea's EC 2.8.3.1 master RHEA:23520 covers only the propanoate/acetyl-CoA transfer, so the lactate-accepting transfer of the acrylate pathway carries no master and is identified by KEGG R01449, which records it in the opposite direction, and by its EC cross-reference.
RHEA:34691	RHEA:34691	lactoyl-CoA dehydratase reaction	(R)-lactoyl-CoA = acryloyl-CoA + H2O.
RHEA:34471	RHEA:34471	acryloyl-CoA reductase reaction	propanoyl-CoA + NAD(+) = acryloyl-CoA + NADH + H(+); used in reverse.
RHEA:23444	RHEA:23444	L-lactate dehydrogenase reaction	(S)-lactate + NAD(+) = pyruvate + NADH + H(+); used in reverse for lactate formation.
RHEA:10960	RHEA:10960	lactate racemase reaction	(S)-lactate = (R)-lactate.
RHEA:46276	RHEA:46276	malolactic enzyme reaction	(S)-malate + H(+) = (S)-lactate + CO2. The decarboxylation makes the step irreversible, which is why malate may be a curated boundary while the reversible citric acid cycle reactions may not.
RHEA:10760	RHEA:10760	citrate lyase reaction	citrate = oxaloacetate + acetate. Rhea also splits the same chemistry into citryl-CoA half-reactions under EC 2.8.3.10 (RHEA:19405) and EC 4.1.3.34 (RHEA:20812); the EC 4.1.3.6 master is curated instead, so that one three-subunit enzyme is one curated step rather than two.
RHEA:15641	RHEA:15641	oxaloacetate decarboxylase reaction	oxaloacetate + H(+) = pyruvate + CO2.
RHEA:23288	RHEA:23288	acetaldehyde dehydrogenase (acetylating) reaction	acetaldehyde + NAD(+) + CoA = acetyl-CoA + NADH + H(+); used in reverse for ethanol formation.
RHEA:25290	RHEA:25290	alcohol dehydrogenase reaction on ethanol	ethanol + NAD(+) = acetaldehyde + NADH + H(+); used in reverse for ethanol formation. Curated at this specificity rather than at the generic primary-alcohol parent RHEA:10736, which would let the route claim a chain length its chemistry does not fix.
RHEA:25249	RHEA:25249	acetolactate synthase reaction	2 pyruvate + H(+) = (2S)-2-acetolactate + CO2.
RHEA:21580	RHEA:21580	acetolactate decarboxylase reaction	(2S)-2-acetolactate + H(+) = (R)-acetoin + CO2.
RHEA:23704	RHEA:23704	GTP cyclohydrolase II reaction	GTP + 4 H2O = 2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine + formate + 2 phosphate + 3 H(+).
RHEA:21868	RHEA:21868	diaminohydroxyphosphoribosylaminopyrimidine deaminase reaction	2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine + H2O + H(+) = 5-amino-6-(5-phospho-D-ribosylamino)uracil + NH4(+).
RHEA:17845	RHEA:17845	5-amino-6-(5-phosphoribosylamino)uracil reductase reaction	5-amino-6-(5-phospho-D-ribitylamino)uracil + NADP(+) = 5-amino-6-(5-phospho-D-ribosylamino)uracil + NADPH + H(+).
RHEA:25197	RHEA:25197	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase reaction	5-amino-6-(5-phospho-D-ribitylamino)uracil + H2O = 5-amino-6-(D-ribitylamino)uracil + phosphate.
RHEA:18457	RHEA:18457	3,4-dihydroxy-2-butanone 4-phosphate synthase reaction	D-ribulose 5-phosphate = (2S)-2-hydroxy-3-oxobutyl phosphate + formate + H(+).
RHEA:26152	RHEA:26152	6,7-dimethyl-8-ribityllumazine synthase reaction	(2S)-2-hydroxy-3-oxobutyl phosphate + 5-amino-6-(D-ribitylamino)uracil = 6,7-dimethyl-8-(1-D-ribityl)lumazine + phosphate + 2 H2O + H(+).
RHEA:20772	RHEA:20772	riboflavin synthase reaction	2 6,7-dimethyl-8-(1-D-ribityl)lumazine + H(+) = 5-amino-6-(D-ribitylamino)uracil + riboflavin.
RHEA:11672	RHEA:11672	4-amino-4-deoxychorismate synthase reaction	chorismate + L-glutamine = 4-amino-4-deoxychorismate + L-glutamate.
RHEA:16201	RHEA:16201	4-amino-4-deoxychorismate lyase reaction	4-amino-4-deoxychorismate = 4-aminobenzoate + pyruvate + H(+).
RHEA:17473	RHEA:17473	GTP cyclohydrolase I reaction	GTP + H2O = 7,8-dihydroneopterin 3'-triphosphate + formate + H(+).
RHEA:25302	RHEA:25302	dihydroneopterin triphosphate diphosphatase reaction	7,8-dihydroneopterin 3'-triphosphate + H2O = 7,8-dihydroneopterin 3'-phosphate + diphosphate + H(+).
RHEA:10540	RHEA:10540	dihydroneopterin aldolase reaction	7,8-dihydroneopterin = 6-hydroxymethyl-7,8-dihydropterin + glycolaldehyde.
RHEA:11412	RHEA:11412	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase reaction	6-hydroxymethyl-7,8-dihydropterin + ATP = (7,8-dihydropterin-6-yl)methyl diphosphate + AMP + H(+).
RHEA:19949	RHEA:19949	dihydropteroate synthase reaction	(7,8-dihydropterin-6-yl)methyl diphosphate + 4-aminobenzoate = 7,8-dihydropteroate + diphosphate.
RHEA:23584	RHEA:23584	dihydrofolate synthase reaction	7,8-dihydropteroate + L-glutamate + ATP = 7,8-dihydrofolate + ADP + phosphate + H(+).
RHEA:15009	RHEA:15009	dihydrofolate reductase reaction	(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+).
RHEA:24840	RHEA:24840	phosphomethylpyrimidine synthase reaction	5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + S-adenosyl-L-methionine = 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + CO + 5'-deoxyadenosine + formate + L-methionine + 3 H(+).
RHEA:19893	RHEA:19893	phosphomethylpyrimidine kinase reaction	4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + ATP = 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + ADP.
RHEA:26361	RHEA:26361	2-iminoacetate synthase reaction	L-tyrosine + S-adenosyl-L-methionine + NADPH = 2-iminoacetate + 4-methylphenol + 5'-deoxyadenosine + L-methionine + NADP(+).
RHEA:26297	RHEA:26297	thiazole synthase reaction	[ThiS sulfur-carrier protein]-C-terminal-Gly-aminoethanethioate + 2-iminoacetate + 1-deoxy-D-xylulose 5-phosphate = [ThiS sulfur-carrier protein]-C-terminal Gly-Gly + 2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate + 2 H2O + H(+).
RHEA:33343	RHEA:33343	glycine oxidase reaction	glycine + O2 = 2-iminoacetate + H2O2.
RHEA:22328	RHEA:22328	thiamine phosphate synthase reaction	4-methyl-5-(2-phosphooxyethyl)-thiazole + 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + H(+) = thiamine phosphate + diphosphate.
RHEA:23096	RHEA:23096	hydroxymethylpyrimidine kinase reaction	4-amino-5-hydroxymethyl-2-methylpyrimidine + ATP = 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + ADP + H(+).
RHEA:24212	RHEA:24212	hydroxyethylthiazole kinase reaction	5-(2-hydroxyethyl)-4-methylthiazole + ATP = 4-methyl-5-(2-phosphooxyethyl)-thiazole + ADP + H(+).
RHEA:11824	RHEA:11824	3-methyl-2-oxobutanoate hydroxymethyltransferase reaction	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + 3-methyl-2-oxobutanoate + H2O = 2-dehydropantoate + (6S)-5,6,7,8-tetrahydrofolate.
RHEA:16233	RHEA:16233	2-dehydropantoate 2-reductase reaction	(R)-pantoate + NADP(+) = 2-dehydropantoate + NADPH + H(+).
RHEA:19497	RHEA:19497	aspartate 1-decarboxylase reaction	L-aspartate + H(+) = beta-alanine + CO2.
RHEA:10912	RHEA:10912	pantothenate synthetase reaction	(R)-pantoate + beta-alanine + ATP = (R)-pantothenate + AMP + diphosphate + H(+).
RHEA:31507	RHEA:31507	pyridoxal 5-phosphate synthase reaction	aldehydo-D-ribose 5-phosphate + D-glyceraldehyde 3-phosphate + L-glutamine = pyridoxal 5'-phosphate + L-glutamate + phosphate + 3 H2O + H(+).
RHEA:12056	RHEA:12056	D-erythrose 4-phosphate dehydrogenase reaction	D-erythrose 4-phosphate + NAD(+) + H2O = 4-phospho-D-erythronate + NADH + 2 H(+).
RHEA:18829	RHEA:18829	erythronate-4-phosphate dehydrogenase reaction	4-phospho-D-erythronate + NAD(+) = (R)-3-hydroxy-2-oxo-4-phosphooxybutanoate + NADH + H(+).
RHEA:16573	RHEA:16573	phosphohydroxythreonine transaminase reaction	4-(phosphooxy)-L-threonine + 2-oxoglutarate = (R)-3-hydroxy-2-oxo-4-phosphooxybutanoate + L-glutamate.
RHEA:32275	RHEA:32275	4-hydroxythreonine-4-phosphate dehydrogenase reaction	4-(phosphooxy)-L-threonine + NAD(+) = 3-amino-2-oxopropyl phosphate + CO2 + NADH.
RHEA:15265	RHEA:15265	pyridoxine 5-phosphate synthase reaction	3-amino-2-oxopropyl phosphate + 1-deoxy-D-xylulose 5-phosphate = pyridoxine 5'-phosphate + phosphate + 2 H2O + H(+).
RHEA:15149	RHEA:15149	pyridoxine 5-phosphate oxidase reaction	pyridoxine 5'-phosphate + O2 = pyridoxal 5'-phosphate + H2O2.
RHEA:20712	RHEA:20712	8-amino-7-oxononanoate synthase reaction	6-carboxyhexanoyl-CoA + L-alanine + H(+) = (8S)-8-amino-7-oxononanoate + CO2 + CoA.
RHEA:16861	RHEA:16861	adenosylmethionine-8-amino-7-oxononanoate transaminase reaction	(8S)-8-amino-7-oxononanoate + S-adenosyl-L-methionine = S-adenosyl-4-methylsulfanyl-2-oxobutanoate + (7R,8S)-7,8-diammoniononanoate.
RHEA:15805	RHEA:15805	dethiobiotin synthetase reaction	(7R,8S)-7,8-diammoniononanoate + CO2 + ATP = (4R,5S)-dethiobiotin + ADP + phosphate + 3 H(+).
RHEA:22060	RHEA:22060	biotin synthase reaction	(4R,5S)-dethiobiotin + (sulfur carrier)-SH + 2 reduced [2Fe-2S]-[ferredoxin] + 2 S-adenosyl-L-methionine = (sulfur carrier)-H + biotin + 2 5'-deoxyadenosine + 2 L-methionine + 2 oxidized [2Fe-2S]-[ferredoxin].
RHEA:26329	RHEA:26329	lysine-8-amino-7-oxononanoate transaminase reaction	(8S)-8-amino-7-oxononanoate + L-lysine = (7R,8S)-7,8-diammoniononanoate + (S)-2-amino-6-oxohexanoate.
RHEA:25876	RHEA:25876	L-aspartate oxidase reaction	L-aspartate + O2 = iminosuccinate + H2O2.
RHEA:25888	RHEA:25888	quinolinate synthase reaction	iminosuccinate + dihydroxyacetone phosphate = quinolinate + phosphate + 2 H2O + H(+).
RHEA:42440	RHEA:42440	aspartate dehydrogenase reaction	L-aspartate + NAD(+) = iminosuccinate + NADH + H(+).
RHEA:12733	RHEA:12733	nicotinate-nucleotide pyrophosphorylase reaction	nicotinate beta-D-ribonucleotide + CO2 + diphosphate = quinolinate + 5-phospho-alpha-D-ribose 1-diphosphate + 2 H(+).
RHEA:22860	RHEA:22860	nicotinate-nucleotide adenylyltransferase reaction	nicotinate beta-D-ribonucleotide + ATP + H(+) = deamido-NAD(+) + diphosphate.
RHEA:21188	RHEA:21188	NAD synthetase (ammonia) reaction	deamido-NAD(+) + NH4(+) + ATP = AMP + diphosphate + NAD(+) + H(+).
RHEA:24384	RHEA:24384	NAD synthetase (glutamine-hydrolysing) reaction	deamido-NAD(+) + L-glutamine + ATP + H2O = L-glutamate + AMP + diphosphate + NAD(+) + H(+).
RHEA:36163	RHEA:36163	nicotinate phosphoribosyltransferase reaction	5-phospho-alpha-D-ribose 1-diphosphate + nicotinate + ATP + H2O = nicotinate beta-D-ribonucleotide + ADP + phosphate + diphosphate.
RHEA:32459	RHEA:32459	uroporphyrinogen III C-methyltransferase reaction	uroporphyrinogen III + 2 S-adenosyl-L-methionine = precorrin-2 + 2 S-adenosyl-L-homocysteine + H(+).
RHEA:15613	RHEA:15613	precorrin-2 dehydrogenase reaction	precorrin-2 + NAD(+) = sirohydrochlorin + NADH + 2 H(+).
RHEA:15893	RHEA:15893	sirohydrochlorin cobaltochelatase reaction	Co-sirohydrochlorin + 2 H(+) = sirohydrochlorin + Co(2+).
RHEA:17997	RHEA:17997	cobalt-factor II C20-methyltransferase reaction	Co-precorrin-2 + S-adenosyl-L-methionine = Co-precorrin-3 + S-adenosyl-L-homocysteine + H(+).
RHEA:36155	RHEA:36155	cobalt-factor III methyltransferase reaction	Co(II)-factor III + AH2 + S-adenosyl-L-methionine = Co-precorrin-4 + A + S-adenosyl-L-homocysteine.
RHEA:26277	RHEA:26277	cobalt-precorrin-4 C11-methyltransferase reaction	Co-precorrin-4 + S-adenosyl-L-methionine = Co-precorrin-5A + S-adenosyl-L-homocysteine + H(+).
